Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
"Dallas/Ft. Worth",Weekly,"2021-04-11 00:00:00",Conventional,0.900664916,1426667.34,492467.04,137654.98,10488.14,453304.15,,,,332753.03
Denver,Weekly,"2021-04-11 00:00:00",Conventional,1.188847803,933765.00,186302.64,65830.87,3001.36,258659.45,,,,419970.68
Detroit,Weekly,"2021-04-11 00:00:00",Conventional,1.243498763,376332.90,72318.24,38795.14,29286.95,107645.72,,,,128286.85
"Grand Rapids",Weekly,"2021-04-11 00:00:00",Conventional,1.479135743,145944.31,18387.61,38277.90,30546.38,43604.52,,,,15127.90
Harrisburg/Scranton,Weekly,"2021-04-11 00:00:00",Conventional,1.075964185,398538.86,153452.01,104930.86,155.81,123362.83,,,,16637.35
Hartford/Springfield,Weekly,"2021-04-11 00:00:00",Conventional,1.354981353,379882.10,10776.29,265704.43,146.53,94886.58,,,,8368.26
Houston,Weekly,"2021-04-11 00:00:00",Conventional,0.930448318,1052924.56,470795.10,172591.75,2480.62,190478.01,,,,216579.08
Indianapolis,Weekly,"2021-04-11 00:00:00",Conventional,1.142586573,228032.84,47457.85,53060.25,187.70,59147.56,,,,68179.49
Jacksonville,Weekly,"2021-04-11 00:00:00",Conventional,1.064314428,244606.21,103577.35,9867.97,17.70,68975.07,,,,62168.11
"Las Vegas",Weekly,"2021-04-11 00:00:00",Conventional,1.151198772,356697.43,63059.28,31633.57,175.68,119119.68,,,,142709.22
"Los Angeles",Weekly,"2021-04-11 00:00:00",Conventional,1.358602765,2862259.50,709489.19,41877.29,91230.53,665965.04,,,,1353697.45
Louisville,Weekly,"2021-04-11 00:00:00",Conventional,1.157051151,120501.10,24723.85,9863.67,38.59,38444.30,,,,47430.68
"Miami/Ft. Lauderdale",Weekly,"2021-04-11 00:00:00",Conventional,1.057315872,1101464.72,540884.04,41878.90,116.01,295657.16,,,,222928.62
Nashville,Weekly,"2021-04-11 00:00:00",Conventional,1.148670392,290355.67,95660.13,11094.16,5.25,87139.12,,,,96457.01
"Northern New England",Weekly,"2021-04-11 00:00:00",Conventional,1.098731019,580105.98,86905.68,372409.61,134.91,77327.89,,,,43327.89
"New Orleans/Mobile",Weekly,"2021-04-11 00:00:00",Conventional,0.969350403,333927.66,131042.53,25211.67,33.15,122589.62,,,,55050.69
"New York",Weekly,"2021-04-11 00:00:00",Conventional,1.295740844,1912889.17,57017.62,1092883.82,857.27,678810.89,,,,83319.56
Orlando,Weekly,"2021-04-11 00:00:00",Conventional,1.031471400,620204.93,253975.80,14471.81,11.34,218624.00,,,,133121.98
Peoria/Springfield,Weekly,"2021-04-11 00:00:00",Conventional,1.104184488,122108.04,33970.02,20670.40,81.29,39752.72,,,,27633.61
Philadelphia,Weekly,"2021-04-11 00:00:00",Conventional,1.139086361,640004.02,135934.77,211587.72,218.66,233978.86,,,,58284.02
Phoenix/Tucson,Weekly,"2021-04-11 00:00:00",Conventional,0.963999250,1222801.15,407567.16,162365.29,4426.59,152743.86,,,,495698.25
Pittsburgh,Weekly,"2021-04-11 00:00:00",Conventional,1.064747304,154565.95,58218.77,11810.77,6.64,41121.35,,,,43408.42
Portland,Weekly,"2021-04-11 00:00:00",Conventional,1.400886867,617835.66,118913.68,41059.04,4911.81,106519.85,,,,346431.28
Providence,Weekly,"2021-04-11 00:00:00",Conventional,1.540914605,96259.60,2998.79,60814.89,48.84,21227.15,,,,11169.93
Raleigh/Greensboro,Weekly,"2021-04-11 00:00:00",Conventional,1.144065115,467350.90,192204.26,76589.64,2795.36,177668.18,,,,18093.46
Richmond/Norfolk,Weekly,"2021-04-11 00:00:00",Conventional,1.161711651,312098.43,93739.10,65755.90,667.55,81885.51,,,,70050.37
Roanoke,Weekly,"2021-04-11 00:00:00",Conventional,1.082723968,190431.29,58977.30,24594.90,88.79,51033.63,,,,55736.66
Sacramento,Weekly,"2021-04-11 00:00:00",Conventional,1.451039291,467108.43,112778.68,142499.44,2178.41,92363.26,,,,117288.64
"San Diego",Weekly,"2021-04-11 00:00:00",Conventional,1.422501193,495341.23,105101.40,21386.10,11256.12,114897.06,,,,242700.56
"San Francisco",Weekly,"2021-04-11 00:00:00",Conventional,1.291216474,832570.48,137832.52,171139.77,4194.94,139834.72,,,,379568.53
Seattle,Weekly,"2021-04-11 00:00:00",Conventional,1.754119849,479988.38,71941.87,45655.47,457.27,80211.97,,,,281721.80
"South Carolina",Weekly,"2021-04-11 00:00:00",Conventional,1.156502428,526097.18,212797.28,48662.64,1035.69,171800.26,,,,91801.31
Spokane,Weekly,"2021-04-11 00:00:00",Conventional,1.404046061,73090.02,18775.83,6256.78,45.25,15270.26,,,,32741.90
"St. Louis",Weekly,"2021-04-11 00:00:00",Conventional,0.996830834,231319.07,101343.86,9934.83,69.95,62501.53,,,,57468.90
Syracuse,Weekly,"2021-04-11 00:00:00",Conventional,1.157219416,93071.94,10835.79,40390.50,443.77,37147.28,,,,4254.60
Tampa,Weekly,"2021-04-11 00:00:00",Conventional,0.985760841,644454.13,260805.03,20183.76,25.73,193527.77,,,,169911.85
Toledo,Weekly,"2021-04-11 00:00:00",Conventional,1.113486969,120327.90,22610.27,20419.26,4137.52,33846.20,,,,39314.64
"West Tex/New Mexico",Weekly,"2021-04-11 00:00:00",Conventional,0.965709127,930941.97,320116.30,125390.03,8501.74,316435.76,,,,160498.14
Wichita,Weekly,"2021-04-11 00:00:00",Conventional,0.870412865,112320.32,26205.57,6011.22,2.97,33902.72,,,,46197.84
California,Weekly,"2021-04-11 00:00:00",Conventional,1.361756444,5902693.04,1392945.18,593776.40,120751.36,1258650.87,,,,2536569.23
"Great Lakes",Weekly,"2021-04-11 00:00:00",Conventional,1.270459274,3528735.24,697764.98,585088.02,137530.80,961981.53,,,,1146369.92
Midsouth,Weekly,"2021-04-11 00:00:00",Conventional,1.196665664,4015137.80,1292647.60,683399.29,10723.78,1377755.84,,,,650611.29
Northeast,Weekly,"2021-04-11 00:00:00",Conventional,1.238105462,5757796.58,639072.36,2965246.37,6174.29,1750696.85,,,,396606.71
Plains,Weekly,"2021-04-11 00:00:00",Conventional,1.097260146,2084420.57,640722.06,457798.71,1511.06,628578.05,,,,355810.70
"South Central",Weekly,"2021-04-11 00:00:00",Conventional,0.908249901,5804564.23,2533493.39,598550.32,82749.08,1589147.04,,,,1000624.40
Southeast,Weekly,"2021-04-11 00:00:00",Conventional,1.052504878,5651888.43,2402895.31,221523.73,1682.60,1680243.66,,,,1345543.12
West,Weekly,"2021-04-11 00:00:00",Conventional,1.184042473,6576508.18,1706323.71,644214.30,23506.25,1454438.53,,,,2748025.38
"Total U.S.",Weekly,"2021-04-11 00:00:00",Conventional,1.163461448,39321744.05,11305864.58,6749597.15,384629.22,10701492.35,,,,10180160.75
Albany,Weekly,"2021-04-11 00:00:00",Organic,1.558196792,3370.63,38.73,334.05,0.00,2856.95,,,,140.89
Atlanta,Weekly,"2021-04-11 00:00:00",Organic,1.816594380,31343.48,67.23,2909.53,0.00,10233.76,,,,18132.96
Baltimore/Washington,Weekly,"2021-04-11 00:00:00",Organic,1.229521901,99604.29,422.28,3428.44,9.20,93306.85,,,,2437.53
Birmingham/Montgomery,Weekly,"2021-04-11 00:00:00",Organic,1.496077297,10840.51,131.25,130.15,0.00,9611.97,,,,967.14
Boise,Weekly,"2021-04-11 00:00:00",Organic,1.981305737,6161.31,5.67,1200.13,8.47,1773.45,,,,3173.59
Boston,Weekly,"2021-04-11 00:00:00",Organic,1.990268130,36688.43,68.21,2372.23,0.00,33342.68,,,,905.31
Buffalo/Rochester,Weekly,"2021-04-11 00:00:00",Organic,1.462606848,15716.57,846.51,76.26,3.33,14790.47,,,,0.00
Charlotte,Weekly,"2021-04-11 00:00:00",Organic,1.741111680,20914.48,61.41,3193.11,56.37,16278.82,,,,1324.77
Chicago,Weekly,"2021-04-11 00:00:00",Organic,1.759132057,51152.48,387.14,4546.04,0.00,22086.21,,,,24133.09
Cincinnati/Dayton,Weekly,"2021-04-11 00:00:00",Organic,2.145984741,14753.54,564.61,1944.10,0.00,3431.12,,,,8813.71
Columbus,Weekly,"2021-04-11 00:00:00",Organic,1.919288835,10227.76,965.92,942.44,0.00,3700.68,,,,4618.72
"Dallas/Ft. Worth",Weekly,"2021-04-11 00:00:00",Organic,1.477169109,42898.26,4389.20,451.64,269.71,31780.12,,,,6007.58
Denver,Weekly,"2021-04-11 00:00:00",Organic,1.777247697,34427.88,6121.42,834.30,0.00,9255.11,,,,18217.04
Detroit,Weekly,"2021-04-11 00:00:00",Organic,1.489732002,19893.05,166.76,1704.08,0.00,12103.37,,,,5918.83
"Grand Rapids",Weekly,"2021-04-11 00:00:00",Organic,1.125577292,9570.48,45.92,1209.59,0.00,8314.97,,,,0.00
Harrisburg/Scranton,Weekly,"2021-04-11 00:00:00",Organic,1.260038756,23583.21,115.44,515.55,0.00,22949.10,,,,3.12
Hartford/Springfield,Weekly,"2021-04-11 00:00:00",Organic,2.028287352,18299.54,213.06,8300.83,0.00,9684.68,,,,100.97
Houston,Weekly,"2021-04-11 00:00:00",Organic,1.769257585,14380.37,4363.21,59.61,0.00,3342.02,,,,6615.54
Indianapolis,Weekly,"2021-04-11 00:00:00",Organic,1.771343065,8954.37,110.12,764.52,0.00,4958.07,,,,3121.67
Jacksonville,Weekly,"2021-04-11 00:00:00",Organic,1.466384870,14192.78,23.07,207.40,0.00,13877.15,,,,85.15
"Las Vegas",Weekly,"2021-04-11 00:00:00",Organic,1.610726915,17379.96,705.14,456.06,0.00,7897.58,,,,8321.18
"Los Angeles",Weekly,"2021-04-11 00:00:00",Organic,1.613764064,153433.57,5018.76,3417.93,14.05,81962.31,,,,63020.52
Louisville,Weekly,"2021-04-11 00:00:00",Organic,2.053897235,6036.60,4.73,560.07,0.00,2035.69,,,,3436.12
"Miami/Ft. Lauderdale",Weekly,"2021-04-11 00:00:00",Organic,1.259619722,51471.88,81.67,3.41,0.00,50505.23,,,,881.57
Nashville,Weekly,"2021-04-11 00:00:00",Organic,1.915527276,15424.94,27.93,1287.01,0.00,7986.58,,,,6123.42
"Northern New England",Weekly,"2021-04-11 00:00:00",Organic,1.934206375,15787.50,51.03,502.51,0.00,13549.93,,,,1684.03
"New Orleans/Mobile",Weekly,"2021-04-11 00:00:00",Organic,1.169917700,14903.68,476.95,21.37,0.00,14187.22,,,,218.14
"New York",Weekly,"2021-04-11 00:00:00",Organic,1.815847253,101285.24,8742.45,6848.64,1032.79,78097.11,,,,6564.26
Orlando,Weekly,"2021-04-11 00:00:00",Organic,1.348780934,31896.04,89.19,0.00,0.00,31669.14,,,,137.71
Peoria/Springfield,Weekly,"2021-04-11 00:00:00",Organic,1.720784980,4111.99,9.68,447.19,0.00,2712.62,,,,942.50
Philadelphia,Weekly,"2021-04-11 00:00:00",Organic,1.772919177,28625.74,1123.57,1967.80,0.00,21466.74,,,,4067.62
Phoenix/Tucson,Weekly,"2021-04-11 00:00:00",Organic,1.431703268,35085.15,2123.76,882.24,0.00,18512.89,,,,13566.26
Pittsburgh,Weekly,"2021-04-11 00:00:00",Organic,1.272854557,15110.14,2983.12,0.00,0.00,10872.85,,,,1254.17
Portland,Weekly,"2021-04-11 00:00:00",Organic,2.424051127,38038.15,368.22,5657.89,0.00,6598.34,,,,25413.69
Providence,Weekly,"2021-04-11 00:00:00",Organic,2.047504338,4587.40,10.24,20.68,0.00,4556.48,,,,0.00
Raleigh/Greensboro,Weekly,"2021-04-11 00:00:00",Organic,1.650893598,26908.85,530.61,2987.30,61.47,22004.85,,,,1324.62
Richmond/Norfolk,Weekly,"2021-04-11 00:00:00",Organic,1.113342146,35204.47,5.81,1334.41,4.34,31757.12,,,,2102.80
Roanoke,Weekly,"2021-04-11 00:00:00",Organic,1.292068260,14530.44,9.22,1051.46,0.00,11440.21,,,,2029.55
Sacramento,Weekly,"2021-04-11 00:00:00",Organic,1.815140235,27766.70,5705.79,3326.87,2.49,15242.09,,,,3489.46
"San Diego",Weekly,"2021-04-11 00:00:00",Organic,1.792717018,32526.95,685.39,2090.33,2.87,16831.40,,,,12916.95
"San Francisco",Weekly,"2021-04-11 00:00:00",Organic,1.976406267,76851.06,3914.30,5712.97,0.00,47204.58,,,,20019.21
Seattle,Weekly,"2021-04-11 00:00:00",Organic,2.127682679,65755.31,1034.40,4596.45,3.36,26631.55,,,,33489.55
"South Carolina",Weekly,"2021-04-11 00:00:00",Organic,1.693489654,27906.89,637.35,2606.27,30.62,20307.09,,,,4325.55
Spokane,Weekly,"2021-04-11 00:00:00",Organic,2.495518895,4255.93,166.55,636.72,0.00,1000.52,,,,2452.14
"St. Louis",Weekly,"2021-04-11 00:00:00",Organic,2.110615912,6472.87,1178.23,851.67,2.39,3422.34,,,,1018.23
Syracuse,Weekly,"2021-04-11 00:00:00",Organic,1.618636987,4629.29,227.94,116.26,0.00,4207.11,,,,77.98
Tampa,Weekly,"2021-04-11 00:00:00",Organic,1.103947685,27993.37,46.90,0.00,0.00,27840.39,,,,106.08
Toledo,Weekly,"2021-04-11 00:00:00",Organic,1.801124727,4404.44,33.93,443.77,0.00,2208.95,,,,1717.79
"West Tex/New Mexico",Weekly,"2021-04-11 00:00:00",Organic,1.238592418,34771.19,877.54,633.01,1893.57,27435.38,,,,3931.70
Wichita,Weekly,"2021-04-11 00:00:00",Organic,1.730191042,2754.32,309.25,10.81,0.00,880.03,,,,1554.23
California,Weekly,"2021-04-11 00:00:00",Organic,1.765553497,359824.51,22534.50,21993.77,20.61,198568.97,,,,116706.66
"Great Lakes",Weekly,"2021-04-11 00:00:00",Organic,1.687046738,178601.55,7042.45,16147.77,0.00,93464.09,,,,61947.25
Midsouth,Weekly,"2021-04-11 00:00:00",Organic,1.438892017,303416.01,1846.95,21092.53,162.24,247763.94,,,,32550.36
Northeast,Weekly,"2021-04-11 00:00:00",Organic,1.735689239,293037.39,16006.41,23338.50,1051.28,237319.58,,,,15321.63
Plains,Weekly,"2021-04-11 00:00:00",Organic,1.592963791,49846.94,9467.65,2032.82,10.10,33182.75,,,,5153.62
"South Central",Weekly,"2021-04-11 00:00:00",Organic,1.444412609,153913.52,17701.47,2477.13,1584.03,114808.57,,,,17342.32
Southeast,Weekly,"2021-04-11 00:00:00",Organic,1.426343170,254103.97,1369.05,8004.55,38.05,214444.24,,,,30248.08
West,Weekly,"2021-04-11 00:00:00",Organic,1.877415943,313287.47,18952.79,20997.61,1113.51,123541.43,,,,148682.14
"Total U.S.",Weekly,"2021-04-11 00:00:00",Organic,1.644323761,1906031.37,94921.27,116084.68,3979.81,1263093.56,,,,427952.05
Albany,Weekly,"2021-04-18 00:00:00",Conventional,1.009886061,156154.93,18715.73,101029.54,22.90,27859.22,,,,8527.53
Atlanta,Weekly,"2021-04-18 00:00:00",Conventional,1.128001809,776915.23,276170.29,23600.59,46.11,205125.16,,,,271973.09
Baltimore/Washington,Weekly,"2021-04-18 00:00:00",Conventional,1.401657910,991091.87,229380.28,279959.75,2546.79,399351.70,,,,79853.36
Birmingham/Montgomery,Weekly,"2021-04-18 00:00:00",Conventional,1.060269157,352698.60,154733.66,8563.65,38.92,108933.30,,,,80429.06
Boise,Weekly,"2021-04-18 00:00:00",Conventional,1.218278299,131377.13,31493.19,4110.10,939.92,48239.54,,,,46594.39
Boston,Weekly,"2021-04-18 00:00:00",Conventional,1.455605865,691938.86,27984.90,403783.94,288.15,173328.35,,,,86553.53
Buffalo/Rochester,Weekly,"2021-04-18 00:00:00",Conventional,1.208347616,220174.15,19781.13,66232.50,2538.58,124985.54,,,,6636.39
Charlotte,Weekly,"2021-04-18 00:00:00",Conventional,1.132846304,389277.04,176873.87,49703.97,2884.85,140410.84,,,,19403.50
Chicago,Weekly,"2021-04-18 00:00:00",Conventional,1.528332889,770173.13,108274.45,94660.44,27477.48,247799.31,,,,291961.44
Cincinnati/Dayton,Weekly,"2021-04-18 00:00:00",Conventional,1.231793013,294774.54,68285.51,39536.13,200.00,43909.02,,,,142843.88
Columbus,Weekly,"2021-04-18 00:00:00",Conventional,1.187444939,236066.88,53177.28,26852.62,85.37,54897.88,,,,101053.73
"Dallas/Ft. Worth",Weekly,"2021-04-18 00:00:00",Conventional,0.896541553,1511027.50,541102.25,142029.84,10141.16,459097.75,,,,358656.50
Denver,Weekly,"2021-04-18 00:00:00",Conventional,1.216054990,967916.41,186922.74,63109.33,3222.28,275420.07,,,,439241.99
Detroit,Weekly,"2021-04-18 00:00:00",Conventional,1.217826480,427900.60,92273.54,40939.38,32772.00,117330.14,,,,144585.54
"Grand Rapids",Weekly,"2021-04-18 00:00:00",Conventional,1.439539535,181165.22,30969.17,45901.89,37401.78,48078.63,,,,18813.75
Harrisburg/Scranton,Weekly,"2021-04-18 00:00:00",Conventional,1.175615473,422947.55,153209.97,110115.29,179.09,142380.54,,,,17062.66
Hartford/Springfield,Weekly,"2021-04-18 00:00:00",Conventional,1.228194208,453274.67,10237.89,338606.55,391.32,94943.00,,,,9095.91
Houston,Weekly,"2021-04-18 00:00:00",Conventional,0.917991511,1133171.63,489843.41,167359.26,2545.75,212784.92,,,,260638.30
Indianapolis,Weekly,"2021-04-18 00:00:00",Conventional,1.126634354,251288.63,58303.99,48632.98,209.39,61535.69,,,,82606.59
Jacksonville,Weekly,"2021-04-18 00:00:00",Conventional,1.209779082,233184.85,101956.77,10023.54,51.21,71103.70,,,,50049.63
"Las Vegas",Weekly,"2021-04-18 00:00:00",Conventional,1.157044815,367197.32,60705.23,32985.83,254.11,125238.74,,,,148013.41
"Los Angeles",Weekly,"2021-04-18 00:00:00",Conventional,1.358645592,2787243.98,779157.92,45625.77,89313.47,692637.30,,,,1180509.52
Louisville,Weekly,"2021-04-18 00:00:00",Conventional,1.201535948,127953.14,22827.18,10866.94,27.27,40370.00,,,,53861.74
"Miami/Ft. Lauderdale",Weekly,"2021-04-18 00:00:00",Conventional,1.189997070,1073397.93,486900.59,40619.19,115.44,296029.38,,,,249733.32
Nashville,Weekly,"2021-04-18 00:00:00",Conventional,1.168897036,308995.19,101284.92,11696.09,74.49,89687.55,,,,106252.14
"Northern New England",Weekly,"2021-04-18 00:00:00",Conventional,1.154073985,548300.74,82579.87,329645.59,193.11,86337.92,,,,49544.24
"New Orleans/Mobile",Weekly,"2021-04-18 00:00:00",Conventional,0.976352291,345573.73,131887.09,25706.57,52.09,136416.51,,,,51511.48
"New York",Weekly,"2021-04-18 00:00:00",Conventional,1.311711335,2012110.93,64481.63,1214833.81,788.33,655659.47,,,,76347.68
Orlando,Weekly,"2021-04-18 00:00:00",Conventional,1.188950455,596299.26,231297.23,13851.51,17.01,224009.19,,,,127124.32
Peoria/Springfield,Weekly,"2021-04-18 00:00:00",Conventional,1.083107953,132898.17,41415.00,19275.07,77.04,39923.00,,,,32208.07
Philadelphia,Weekly,"2021-04-18 00:00:00",Conventional,1.175232114,666417.26,136687.28,226937.89,258.53,250576.50,,,,51957.07
Phoenix/Tucson,Weekly,"2021-04-18 00:00:00",Conventional,0.892704862,1347156.20,478316.94,181499.76,4675.88,156488.06,,,,526175.56
Pittsburgh,Weekly,"2021-04-18 00:00:00",Conventional,1.276787924,122070.88,32475.56,11972.49,17.56,48581.86,,,,29023.41
Portland,Weekly,"2021-04-18 00:00:00",Conventional,1.460588959,631642.09,112982.42,43965.15,5273.76,117379.33,,,,352041.42
Providence,Weekly,"2021-04-18 00:00:00",Conventional,1.593738788,95206.31,2792.17,62004.76,72.07,18305.46,,,,12031.85
Raleigh/Greensboro,Weekly,"2021-04-18 00:00:00",Conventional,1.079227175,481307.04,212288.95,72091.27,2621.63,175729.47,,,,18575.72
Richmond/Norfolk,Weekly,"2021-04-18 00:00:00",Conventional,1.080870241,354760.72,120817.14,68727.93,596.48,82650.42,,,,81968.76
Roanoke,Weekly,"2021-04-18 00:00:00",Conventional,1.024035751,212047.96,73141.49,23996.42,46.13,52720.56,,,,62143.36
Sacramento,Weekly,"2021-04-18 00:00:00",Conventional,1.420903890,518470.13,156348.32,171197.02,1767.61,95120.44,,,,94036.74
"San Diego",Weekly,"2021-04-18 00:00:00",Conventional,1.423237248,490012.45,113056.30,20631.00,12506.38,117135.35,,,,226683.41
"San Francisco",Weekly,"2021-04-18 00:00:00",Conventional,1.596823165,803666.95,210184.88,157687.95,4318.59,146801.92,,,,284673.60
Seattle,Weekly,"2021-04-18 00:00:00",Conventional,1.673455257,537617.08,82596.21,47429.62,406.60,86340.50,,,,320844.15
"South Carolina",Weekly,"2021-04-18 00:00:00",Conventional,1.159244574,556128.58,243615.46,41465.58,1015.88,180024.35,,,,90007.31
Spokane,Weekly,"2021-04-18 00:00:00",Conventional,1.322520806,84178.66,20113.60,7922.97,17.62,17926.41,,,,38198.05
"St. Louis",Weekly,"2021-04-18 00:00:00",Conventional,1.014833405,237848.21,105065.75,9740.59,59.03,62895.39,,,,60087.45
Syracuse,Weekly,"2021-04-18 00:00:00",Conventional,1.158200825,103121.87,10880.52,45048.12,610.13,42155.90,,,,4427.19
Tampa,Weekly,"2021-04-18 00:00:00",Conventional,1.097557913,631531.69,256932.58,20766.10,25.26,204020.35,,,,149787.40
Toledo,Weekly,"2021-04-18 00:00:00",Conventional,1.119220275,136051.45,28307.32,22623.50,5049.71,35589.98,,,,44480.95
"West Tex/New Mexico",Weekly,"2021-04-18 00:00:00",Conventional,0.971580513,956212.90,351224.17,118169.69,7853.97,322252.18,,,,156712.89
Wichita,Weekly,"2021-04-18 00:00:00",Conventional,0.946332436,112625.50,25690.55,6477.93,1.08,31784.91,,,,48671.03
California,Weekly,"2021-04-18 00:00:00",Conventional,1.412836305,5886862.75,1689135.79,622533.26,120425.27,1301228.54,,,,2153539.89
"Great Lakes",Weekly,"2021-04-18 00:00:00",Conventional,1.262672212,3823999.24,793472.18,616017.01,155523.94,1036211.32,,,,1222774.80
Midsouth,Weekly,"2021-04-18 00:00:00",Conventional,1.165997238,4249880.56,1444452.80,701343.35,10531.66,1401609.46,,,,691943.29
Northeast,Weekly,"2021-04-18 00:00:00",Conventional,1.262092626,6006487.18,603488.59,3191016.42,7528.89,1821282.77,,,,383170.51
Plains,Weekly,"2021-04-18 00:00:00",Conventional,1.172588182,2056873.61,625400.93,409920.47,1415.13,642390.38,,,,377746.70
"South Central",Weekly,"2021-04-18 00:00:00",Conventional,0.916829204,5934476.45,2539559.46,584067.29,76112.84,1664418.85,,,,1070318.01
Southeast,Weekly,"2021-04-18 00:00:00",Conventional,1.137559931,5672978.63,2359546.56,211683.53,1664.08,1739499.50,,,,1360584.96
West,Weekly,"2021-04-18 00:00:00",Conventional,1.170043839,6971558.93,1801466.04,670434.91,24206.34,1593071.00,,,,2882380.65
"Total U.S.",Weekly,"2021-04-18 00:00:00",Conventional,1.185743265,40603117.35,11856522.34,7007016.24,397408.15,11199711.81,,,,10142458.81
Albany,Weekly,"2021-04-18 00:00:00",Organic,1.647803185,3991.55,39.33,512.72,0.00,3249.29,,,,190.21
Atlanta,Weekly,"2021-04-18 00:00:00",Organic,1.803381118,28449.12,70.20,2534.19,0.00,9525.93,,,,16318.80
Baltimore/Washington,Weekly,"2021-04-18 00:00:00",Organic,1.216773777,102182.83,430.07,3782.19,14.93,96218.09,,,,1737.55
Birmingham/Montgomery,Weekly,"2021-04-18 00:00:00",Organic,1.478140747,9719.56,93.69,157.82,0.00,8666.92,,,,801.14
Boise,Weekly,"2021-04-18 00:00:00",Organic,2.023757786,5949.26,2.84,799.90,2.42,1660.05,,,,3484.05
Boston,Weekly,"2021-04-18 00:00:00",Organic,1.976051068,38842.41,38.71,1610.73,0.00,36312.07,,,,880.89
Buffalo/Rochester,Weekly,"2021-04-18 00:00:00",Organic,1.476000905,19588.94,1091.69,121.13,3.33,18372.78,,,,0.00
Charlotte,Weekly,"2021-04-18 00:00:00",Organic,1.708148516,20832.83,59.97,3399.21,34.04,16489.31,,,,850.29
Chicago,Weekly,"2021-04-18 00:00:00",Organic,1.702358196,48827.61,293.57,3944.07,0.00,23838.51,,,,20751.46
Cincinnati/Dayton,Weekly,"2021-04-18 00:00:00",Organic,2.144516837,16472.53,711.99,2103.83,0.00,3667.14,,,,9989.57
Columbus,Weekly,"2021-04-18 00:00:00",Organic,1.942053417,11859.06,769.10,1109.61,0.00,4524.23,,,,5456.12
"Dallas/Ft. Worth",Weekly,"2021-04-18 00:00:00",Organic,1.435548428,46068.21,4842.54,476.01,14.00,33983.81,,,,6751.86
Denver,Weekly,"2021-04-18 00:00:00",Organic,1.757929546,33927.29,7278.32,863.66,0.00,10367.31,,,,15418.01
Detroit,Weekly,"2021-04-18 00:00:00",Organic,1.436669031,25312.26,220.61,1768.77,0.00,16225.12,,,,7097.75
"Grand Rapids",Weekly,"2021-04-18 00:00:00",Organic,1.019906569,12569.41,88.71,1144.23,0.00,11336.47,,,,0.00
Harrisburg/Scranton,Weekly,"2021-04-18 00:00:00",Organic,1.301565448,25218.73,157.37,490.12,0.00,24563.41,,,,7.84
Hartford/Springfield,Weekly,"2021-04-18 00:00:00",Organic,2.082466152,16740.39,275.94,4839.67,0.00,11437.83,,,,186.95
Houston,Weekly,"2021-04-18 00:00:00",Organic,1.690894940,14754.99,4242.69,67.79,0.00,2933.83,,,,7510.68
Indianapolis,Weekly,"2021-04-18 00:00:00",Organic,1.677424364,9810.08,154.06,707.85,0.00,5945.47,,,,3002.69
Jacksonville,Weekly,"2021-04-18 00:00:00",Organic,1.447208418,15042.79,69.42,249.96,0.00,14678.04,,,,45.36
"Las Vegas",Weekly,"2021-04-18 00:00:00",Organic,1.619246707,17892.85,789.70,417.32,0.00,7909.52,,,,8776.31
"Los Angeles",Weekly,"2021-04-18 00:00:00",Organic,1.732147785,151879.98,4701.40,2479.11,11.22,73301.17,,,,71387.07
Louisville,Weekly,"2021-04-18 00:00:00",Organic,1.936492202,8028.84,17.28,665.61,0.00,3517.92,,,,3828.03
"Miami/Ft. Lauderdale",Weekly,"2021-04-18 00:00:00",Organic,1.298888668,50015.39,114.75,7.95,0.00,49149.29,,,,743.40
Nashville,Weekly,"2021-04-18 00:00:00",Organic,1.885070370,15687.86,12.17,1123.66,0.00,8462.16,,,,6089.86
"Northern New England",Weekly,"2021-04-18 00:00:00",Organic,1.907358796,18897.97,59.03,666.17,12.16,16399.18,,,,1761.43
"New Orleans/Mobile",Weekly,"2021-04-18 00:00:00",Organic,1.149114843,16810.23,534.91,14.23,0.00,16091.78,,,,169.31
"New York",Weekly,"2021-04-18 00:00:00",Organic,1.803636160,116597.94,10905.37,10089.28,790.11,88183.28,,,,6629.90
Orlando,Weekly,"2021-04-18 00:00:00",Organic,1.332675151,30574.85,63.86,0.00,0.00,30345.82,,,,165.17
Peoria/Springfield,Weekly,"2021-04-18 00:00:00",Organic,1.641752659,4037.16,6.75,369.80,0.00,2837.40,,,,823.20
Philadelphia,Weekly,"2021-04-18 00:00:00",Organic,1.752414571,34092.77,1333.85,2339.74,0.00,26104.46,,,,4314.72
Phoenix/Tucson,Weekly,"2021-04-18 00:00:00",Organic,1.450540730,35619.95,2196.60,901.98,0.00,18802.94,,,,13718.44
Pittsburgh,Weekly,"2021-04-18 00:00:00",Organic,1.323719304,13995.46,1728.24,2.83,0.00,11336.25,,,,928.15
Portland,Weekly,"2021-04-18 00:00:00",Organic,2.419260578,39939.60,308.56,5990.54,0.00,7329.36,,,,26311.14
Providence,Weekly,"2021-04-18 00:00:00",Organic,1.994940399,4894.25,11.34,41.13,0.00,4836.62,,,,5.16
Raleigh/Greensboro,Weekly,"2021-04-18 00:00:00",Organic,1.634280735,29243.66,831.19,3632.28,102.67,24192.45,,,,485.07
