StartStationLon,StartStationLat,EndStationLat,EndStationLon
-0.192404,51.496481,51.51217,-0.150481
-0.176268,51.524826,51.512276,-0.157436
-0.162298,51.522511,51.514619,-0.137841
-0.069743,51.528222,51.523648,-0.074754
-0.124749,51.509462,51.517334,-0.103604
-0.221791,51.49968,51.506451,-0.170279
-0.135635,51.488226,51.473763,-0.19701
-0.147624,51.49395,51.493583,-0.165101
-0.099489,51.524868,51.507424,-0.134621
-0.058641,51.515256,51.51601,-0.0985
-0.208565,51.515108,51.525595,-0.144083
-0.199783,51.472817,51.521661,-0.109006
-0.154106,51.517703,51.530059,-0.120973
-0.113426,51.503919,51.520841,-0.09734
-0.204815,51.484386,51.518913,-0.156166
-0.205991,51.501391,51.507481,-0.205535
-0.063531,51.504719,51.518908,-0.079249
-0.140947,51.49616,51.511756,-0.119643
-0.147478,51.492369,51.461083,-0.191722
-0.047218,51.526041,51.52568,-0.055312
-0.170703,51.470847,51.496753,-0.138733
-0.079201,51.537277,51.511553,-0.09294
-0.124469,51.485917,51.49313,-0.156876
-0.055731,51.519806,51.503493,-0.07962
-0.091938,51.492807,51.49652,-0.101384
-0.07813,51.526377,51.518908,-0.079249
-0.087587,51.514441,51.521743,-0.081118
-0.041378,51.522507,51.522264,-0.114079
-0.170329,51.477684,51.515418,-0.09885
-0.055312,51.52568,51.516118,-0.128585
-0.179369,51.487196,51.485821,-0.149004
-0.140741,51.488057,51.507424,-0.134621
-0.053177,51.515975,51.519064,-0.059642
-0.093051,51.511246,51.515735,-0.09308
-0.130504,51.526838,51.51362,-0.116764
-0.113426,51.503919,51.512484,-0.099141
-0.086685,51.517075,51.498884,-0.165471
-0.09294,51.511553,51.520962,-0.085634
-0.098497,51.503688,51.500647,-0.0786
-0.21985,51.493267,51.519656,-0.132339
-0.208485,51.478939,51.491593,-0.192369
-0.219346,51.482944,51.490217,-0.215087
-0.209494,51.498157,51.504038,-0.2174
-0.175116,51.523353,51.49616,-0.140947
-0.124749,51.509462,51.525595,-0.144083
-0.100168,51.530344,51.510048,-0.138846
-0.138231,51.525542,51.535892,-0.160854
-0.165842,51.522029,51.515809,-0.10527
-0.140741,51.488057,51.482362,-0.136123
-0.064094,51.513074,51.510484,-0.082989
-0.140947,51.49616,51.507424,-0.134621
-0.097122,51.529423,51.525893,-0.090847
-0.033085,51.532513,51.516154,-0.082422
-0.100168,51.530344,51.510048,-0.138846
-0.155442,51.474376,51.506133,-0.114686
-0.110699,51.501444,51.517008,-0.093885
-0.122203,51.534474,51.518154,-0.062697
-0.106408,51.530515,51.525595,-0.144083
-0.093903,51.530991,51.518825,-0.108028
-0.105312,51.504043,51.517428,-0.107987
-0.0801,51.52959,51.524526,-0.079248
-0.110699,51.501444,51.503127,-0.078655
-0.214762,51.5129,51.507481,-0.205535
-0.167919,51.484984,51.51678,-0.175488
-0.073955,51.526293,51.509843,-0.02377
-0.122806,51.490435,51.522954,-0.094934
-0.153645,51.512911,51.522511,-0.162298
-0.14177,51.479501,51.516128,-0.120909
-0.19701,51.473763,51.475142,-0.187278
-0.066035,51.531864,51.522853,-0.099994
-0.109025,51.534408,51.521743,-0.081118
-0.075901,51.531091,51.516814,-0.151926
-0.066035,51.531864,51.514449,-0.077178
-0.097122,51.529423,51.521743,-0.081118
-0.114934,51.49288,51.519362,-0.074431
-0.106408,51.530515,51.494185,-0.18267
-0.214428,51.486062,51.490217,-0.215087
-0.099981,51.532661,51.517428,-0.107987
-0.126021,51.508103,51.51824,-0.11655
-0.180389,51.46517,51.464894,-0.173029
-0.159322,51.461343,51.46193,-0.180791
-0.173881,51.494412,51.489716,-0.170194
-0.113864,51.504027,51.52168,-0.130431
-0.15213,51.470475,51.520858,-0.089887
-0.087587,51.514441,51.518908,-0.079249
-0.02163,51.540311,51.50357,-0.020068
-0.093421,51.529154,51.51601,-0.0985
-0.126409,51.524,51.514499,-0.141423
-0.165842,51.522029,51.534474,-0.122203
-0.065076,51.52388,51.534042,-0.086379
-0.126021,51.508103,51.502661,-0.021596
-0.193764,51.508605,51.487285,-0.217995
-0.102757,51.536384,51.520962,-0.085634
-0.113864,51.504027,51.515937,-0.111778
-0.208565,51.515108,51.525595,-0.144083
-0.183846,51.523344,51.500139,-0.113936
-0.048017,51.531127,51.531864,-0.066035
-0.123616,51.529943,51.498865,-0.137424
-0.149551,51.477619,51.522264,-0.114079
-0.147714,51.483507,51.507424,-0.134621
-0.117974,51.494881,51.503791,-0.112824
-0.132845,51.489975,51.49616,-0.140947
-0.174411,51.511933,51.517606,-0.121328
-0.104298,51.526717,51.504027,-0.113864
-0.123616,51.529943,51.509786,-0.068161
-0.157183,51.52026,51.498125,-0.132102
-0.180389,51.46517,51.494185,-0.18267
-0.200838,51.514311,51.496886,-0.161203
-0.055656,51.514222,51.502153,-0.083632
-0.053177,51.515975,51.50623,-0.02296
-0.198286,51.493724,51.499917,-0.174554
-0.030556,51.523538,51.50964,-0.08497
-0.185296,51.495362,51.529943,-0.123616
-0.123616,51.529943,51.503493,-0.07962
-0.113426,51.503919,51.520858,-0.089887
-0.102757,51.536384,51.511553,-0.09294
-0.142943,51.496863,51.514577,-0.158264
-0.09315,51.53356,51.515735,-0.09308
-0.141812,51.469259,51.477292,-0.164786
-0.178433,51.492479,51.510919,-0.151126
-0.112721,51.536392,51.521743,-0.081118
-0.074189,51.502279,51.520962,-0.085634
-0.180791,51.46193,51.475089,-0.201968
-0.149551,51.477619,51.511246,-0.093051
-0.206002,51.458164,51.485587,-0.18119
-0.124469,51.485917,51.510701,-0.121723
-0.103137,51.506692,51.503493,-0.07962
-0.058005,51.527152,51.526377,-0.07813
-0.144132,51.493204,51.497387,-0.197245
-0.086685,51.517075,51.515418,-0.09885
-0.047784,51.51328,51.516468,-0.079684
-0.140947,51.49616,51.507424,-0.134621
-0.141923,51.489856,51.500703,-0.129698
-0.165297,51.461923,51.47659,-0.118256
-0.109025,51.534408,51.514449,-0.077178
-0.176267,51.472876,51.481335,-0.138212
-0.085634,51.520962,51.51795,-0.108657
-0.081608,51.497855,51.517075,-0.086685
-0.184806,51.457991,51.486343,-0.122492
-0.103137,51.506692,51.493978,-0.127554
-0.113426,51.503919,51.516417,-0.179135
-0.123616,51.529943,51.518908,-0.079249
-0.107927,51.513821,51.517075,-0.086685
-0.107927,51.513821,51.517075,-0.086685
-0.140741,51.488057,51.491211,-0.173715
-0.176267,51.472876,51.467601,-0.206827
-0.18921,51.477276,51.493724,-0.198286
-0.081608,51.497855,51.49616,-0.140947
-0.202608,51.51632,51.51678,-0.175488
-0.209973,51.481021,51.479932,-0.194116
-0.102757,51.536384,51.518117,-0.144228
-0.169774,51.519968,51.507326,-0.145827
-0.112824,51.503791,51.514409,-0.118478
-0.068161,51.509786,51.511542,-0.056667
-0.116493,51.477839,51.498125,-0.132102
-0.099981,51.532661,51.511246,-0.093051
-0.147624,51.49395,51.516204,-0.155525
-0.138733,51.496753,51.488226,-0.135635
-0.147203,51.515308,51.508103,-0.126021
-0.08249,51.53558,51.520858,-0.089887
-0.054162,51.536424,51.497622,-0.125978
-0.070329,51.539083,51.520858,-0.089887
-0.154106,51.517703,51.519914,-0.136039
-0.113426,51.503919,51.509303,-0.025996
-0.106237,51.507244,51.493699,-0.121394
-0.138212,51.481335,51.485917,-0.124469
-0.025626,51.511811,51.517842,-0.090075
-0.164786,51.477292,51.515308,-0.147203
-0.059091,51.528692,51.519362,-0.074431
-0.06142,51.532091,51.502279,-0.074189
-0.098497,51.503688,51.517075,-0.086685
-0.114934,51.49288,51.486343,-0.122492
-0.081608,51.497855,51.516468,-0.079684
-0.069543,51.525645,51.528936,-0.055894
-0.116493,51.477839,51.511246,-0.093051
-0.215895,51.476885,51.484386,-0.204815
-0.201005,51.51787,51.509353,-0.196422
-0.157788,51.465123,51.505461,-0.10454
-0.063531,51.504719,51.510484,-0.082989
-0.199135,51.468418,51.471079,-0.207842
-0.111014,51.493686,51.536264,-0.133952
-0.123616,51.529943,51.521743,-0.081118
-0.191722,51.461083,51.489716,-0.170194
-0.03338,51.535179,51.546326,-0.009935
-0.087262,51.506304,51.523196,-0.083067
-0.19024,51.515529,51.492084,-0.229116
-0.101536,51.49217,51.505461,-0.10454
-0.216493,51.491093,51.506256,-0.218337
-0.199783,51.472817,51.49968,-0.221791
-0.173881,51.494412,51.507326,-0.145827
-0.178433,51.492479,51.506613,-0.142844
-0.084605,51.521283,51.527025,-0.088542
-0.174971,51.485121,51.517075,-0.086685
-0.215895,51.476885,51.507424,-0.134621
-0.140947,51.49616,51.516128,-0.120909
-0.124749,51.509462,51.517334,-0.103604
-0.169821,51.466633,51.476964,-0.174347
-0.103137,51.506692,51.507424,-0.134621
-0.09294,51.51397,51.524438,-0.138019
-0.09315,51.53356,51.525227,-0.135188
-0.163347,51.474392,51.485917,-0.124469
-0.091773,51.504627,51.499041,-0.020157
-0.187842,51.509908,51.501855,-0.159237
-0.158963,51.524517,51.513684,-0.13558
-0.122831,51.472509,51.473116,-0.137235
-0.111606,51.505569,51.506725,-0.098807
-0.104708,51.52326,51.529423,-0.097122
-0.20782,51.473471,51.514577,-0.158264
-0.012413,51.508896,51.521283,-0.084605
-0.176267,51.472876,51.461083,-0.191722
-0.13225,51.528833,51.531666,-0.109914
-0.122806,51.490435,51.504027,-0.113864
-0.106408,51.530515,51.536384,-0.102757
-0.193254,51.476259,51.490083,-0.162418
