Product Category,Units,Week Ending,Geography,Type,ASP
Bulk GTIN,261043.11,12/20/2020,Plains,Conventional,0.838164304
Bagged,553216.48,12/20/2020,Plains,Conventional,0.838164304
PLU 4046,593056.58,12/20/2020,Plains,Conventional,0.838164304
PLU 4225,461667.69,12/27/2020,Plains,Conventional,0.845850506
PLU 4770,1321.44,12/27/2020,Plains,Conventional,0.845850506
Bulk GTIN,246975.07,12/27/2020,Plains,Conventional,0.845850506
Bagged,498652.76,12/27/2020,Plains,Conventional,0.845850506
PLU 4046,568124.28,12/27/2020,Plains,Conventional,0.845850506
PLU 4225,806184.9,1/5/2020,South Central,Conventional,0.816119675
PLU 4770,67367.39,1/5/2020,South Central,Conventional,0.816119675
Bulk GTIN,1005815.34,1/5/2020,South Central,Conventional,0.816119675
Bagged,865342.57,1/5/2020,South Central,Conventional,0.816119675
PLU 4046,2605151.71,1/5/2020,South Central,Conventional,0.816119675
PLU 4225,691718.41,1/12/2020,South Central,Conventional,0.704596186
PLU 4770,68290.29,1/12/2020,South Central,Conventional,0.704596186
Bulk GTIN,1135493.14,1/12/2020,South Central,Conventional,0.704596186
Bagged,1040951.18,1/12/2020,South Central,Conventional,0.704596186
PLU 4046,3617087.12,1/12/2020,South Central,Conventional,0.704596186
PLU 4225,653018.49,1/19/2020,South Central,Conventional,0.632036148
PLU 4770,65144.96,1/19/2020,South Central,Conventional,0.632036148
Bulk GTIN,1133326.64,1/19/2020,South Central,Conventional,0.632036148
Bagged,984444.91,1/19/2020,South Central,Conventional,0.632036148
PLU 4046,4170011.34,1/19/2020,South Central,Conventional,0.632036148
PLU 4225,571078.99,1/26/2020,South Central,Conventional,0.774351933
PLU 4770,76801.17,1/26/2020,South Central,Conventional,0.774351933
Bulk GTIN,1122559.45,1/26/2020,South Central,Conventional,0.774351933
Bagged,1045745.43,1/26/2020,South Central,Conventional,0.774351933
PLU 4046,3018783.74,1/26/2020,South Central,Conventional,0.774351933
PLU 4225,882804.05,2/2/2020,South Central,Conventional,0.627061631
PLU 4770,138870,2/2/2020,South Central,Conventional,0.627061631
Bulk GTIN,1458283.35,2/2/2020,South Central,Conventional,0.627061631
Bagged,1298795.65,2/2/2020,South Central,Conventional,0.627061631
PLU 4046,4369847.14,2/2/2020,South Central,Conventional,0.627061631
PLU 4225,672569.22,2/9/2020,South Central,Conventional,0.694904311
PLU 4770,60726.77,2/9/2020,South Central,Conventional,0.694904311
Bulk GTIN,1294733.21,2/9/2020,South Central,Conventional,0.694904311
Bagged,1076897.48,2/9/2020,South Central,Conventional,0.694904311
PLU 4046,3674059.12,2/9/2020,South Central,Conventional,0.694904311
PLU 4225,526261.77,2/16/2020,South Central,Conventional,0.733053868
PLU 4770,61932.75,2/16/2020,South Central,Conventional,0.733053868
Bulk GTIN,1123752.96,2/16/2020,South Central,Conventional,0.733053868
Bagged,973012.38,2/16/2020,South Central,Conventional,0.733053868
PLU 4046,3321673.76,2/16/2020,South Central,Conventional,0.733053868
PLU 4225,608699.79,2/23/2020,South Central,Conventional,0.79150304
PLU 4770,46746.76,2/23/2020,South Central,Conventional,0.79150304
Bulk GTIN,1189003.02,2/23/2020,South Central,Conventional,0.79150304
Bagged,939888.85,2/23/2020,South Central,Conventional,0.79150304
PLU 4046,3099403.59,2/23/2020,South Central,Conventional,0.79150304
PLU 4225,613831.17,3/1/2020,South Central,Conventional,0.806695391
PLU 4770,35552.02,3/1/2020,South Central,Conventional,0.806695391
Bulk GTIN,1188635.84,3/1/2020,South Central,Conventional,0.806695391
Bagged,1066948.05,3/1/2020,South Central,Conventional,0.806695391
PLU 4046,3268577.13,3/1/2020,South Central,Conventional,0.806695391
PLU 4225,543853.37,3/8/2020,South Central,Conventional,0.872246535
PLU 4770,28438.11,3/8/2020,South Central,Conventional,0.872246535
Bulk GTIN,1163220.64,3/8/2020,South Central,Conventional,0.872246535
Bagged,1033697.91,3/8/2020,South Central,Conventional,0.872246535
PLU 4046,3241457.17,3/8/2020,South Central,Conventional,0.872246535
PLU 4225,668851.46,3/15/2020,South Central,Conventional,0.915913476
PLU 4770,35707.27,3/15/2020,South Central,Conventional,0.915913476
Bulk GTIN,1310667.76,3/15/2020,South Central,Conventional,0.915913476
Bagged,1334297.63,3/15/2020,South Central,Conventional,0.915913476
PLU 4046,3836269.33,3/15/2020,South Central,Conventional,0.915913476
PLU 4225,763088.74,3/22/2020,South Central,Conventional,0.922870291
PLU 4770,30475.69,3/22/2020,South Central,Conventional,0.922870291
Bulk GTIN,1372148.82,3/22/2020,South Central,Conventional,0.922870291
Bagged,1253532.15,3/22/2020,South Central,Conventional,0.922870291
PLU 4046,3828575.04,3/22/2020,South Central,Conventional,0.922870291
PLU 4225,829347.05,3/29/2020,South Central,Conventional,0.989943189
PLU 4770,32706.29,3/29/2020,South Central,Conventional,0.989943189
Bulk GTIN,1220092.06,3/29/2020,South Central,Conventional,0.989943189
Bagged,1057476.11,3/29/2020,South Central,Conventional,0.989943189
PLU 4046,2883073.44,3/29/2020,South Central,Conventional,0.989943189
PLU 4225,912115.32,4/5/2020,South Central,Conventional,0.926880763
PLU 4770,33892.73,4/5/2020,South Central,Conventional,0.926880763
Bulk GTIN,1231581.05,4/5/2020,South Central,Conventional,0.926880763
Bagged,1206739.05,4/5/2020,South Central,Conventional,0.926880763
PLU 4046,3609244.2,4/5/2020,South Central,Conventional,0.926880763
PLU 4225,874129.5,4/12/2020,South Central,Conventional,0.904182377
PLU 4770,37701.78,4/12/2020,South Central,Conventional,0.904182377
Bulk GTIN,1127374.82,4/12/2020,South Central,Conventional,0.904182377
Bagged,1068265.31,4/12/2020,South Central,Conventional,0.904182377
PLU 4046,3842890.41,4/12/2020,South Central,Conventional,0.904182377
PLU 4225,914066.26,4/19/2020,South Central,Conventional,0.890989127
PLU 4770,96309.17,4/19/2020,South Central,Conventional,0.890989127
Bulk GTIN,1148528.68,4/19/2020,South Central,Conventional,0.890989127
Bagged,1472040.06,4/19/2020,South Central,Conventional,0.890989127
PLU 4046,3546724.79,4/19/2020,South Central,Conventional,0.890989127
PLU 4225,1150878.57,4/26/2020,South Central,Conventional,0.974423583
PLU 4770,123426.52,4/26/2020,South Central,Conventional,0.974423583
Bulk GTIN,1181033.35,4/26/2020,South Central,Conventional,0.974423583
Bagged,1252657.16,4/26/2020,South Central,Conventional,0.974423583
PLU 4046,2904126.12,4/26/2020,South Central,Conventional,0.974423583
PLU 4225,981804.31,5/3/2020,South Central,Conventional,0.918103547
PLU 4770,119580.51,5/3/2020,South Central,Conventional,0.918103547
Bulk GTIN,1295534.36,5/3/2020,South Central,Conventional,0.918103547
Bagged,1481782.66,5/3/2020,South Central,Conventional,0.918103547
PLU 4046,3202644.9,5/3/2020,South Central,Conventional,0.918103547
PLU 4225,844455.54,5/10/2020,South Central,Conventional,0.858257972
PLU 4770,92704.62,5/10/2020,South Central,Conventional,0.858257972
Bulk GTIN,1393905.88,5/10/2020,South Central,Conventional,0.858257972
Bagged,1622294.08,5/10/2020,South Central,Conventional,0.858257972
PLU 4046,3671589.64,5/10/2020,South Central,Conventional,0.858257972
PLU 4225,824275.79,5/17/2020,South Central,Conventional,0.925446596
PLU 4770,119302.43,5/17/2020,South Central,Conventional,0.925446596
Bulk GTIN,1250943.57,5/17/2020,South Central,Conventional,0.925446596
Bagged,1364019.7,5/17/2020,South Central,Conventional,0.925446596
PLU 4046,3451532.32,5/17/2020,South Central,Conventional,0.925446596
PLU 4225,776689.28,5/24/2020,South Central,Conventional,0.876868389
PLU 4770,148371.35,5/24/2020,South Central,Conventional,0.876868389
Bulk GTIN,1374631.78,5/24/2020,South Central,Conventional,0.876868389
Bagged,1556110.04,5/24/2020,South Central,Conventional,0.876868389
PLU 4046,3753669.48,5/24/2020,South Central,Conventional,0.876868389
PLU 4225,840490.46,5/31/2020,South Central,Conventional,0.832158468
PLU 4770,133159.71,5/31/2020,South Central,Conventional,0.832158468
Bulk GTIN,1332521.99,5/31/2020,South Central,Conventional,0.832158468
Bagged,1770235.39,5/31/2020,South Central,Conventional,0.832158468
PLU 4046,3269726.82,5/31/2020,South Central,Conventional,0.832158468
PLU 4225,759186.82,6/7/2020,South Central,Conventional,0.766036615
PLU 4770,144312.1,6/7/2020,South Central,Conventional,0.766036615
Bulk GTIN,1385329.95,6/7/2020,South Central,Conventional,0.766036615
Bagged,1497885.88,6/7/2020,South Central,Conventional,0.766036615
PLU 4046,3763726.06,6/7/2020,South Central,Conventional,0.766036615
PLU 4225,561039.81,6/14/2020,South Central,Conventional,0.815849585
PLU 4770,133032.04,6/14/2020,South Central,Conventional,0.815849585
Bulk GTIN,1304362.69,6/14/2020,South Central,Conventional,0.815849585
Bagged,1559687.33,6/14/2020,South Central,Conventional,0.815849585
PLU 4046,3360520.73,6/14/2020,South Central,Conventional,0.815849585
PLU 4225,626765.7,6/21/2020,South Central,Conventional,0.846618283
PLU 4770,166812.09,6/21/2020,South Central,Conventional,0.846618283
Bulk GTIN,1250932.21,6/21/2020,South Central,Conventional,0.846618283
Bagged,1554216.09,6/21/2020,South Central,Conventional,0.846618283
PLU 4046,3174438.71,6/21/2020,South Central,Conventional,0.846618283
PLU 4225,679913.21,6/28/2020,South Central,Conventional,0.844593722
PLU 4770,142565.47,6/28/2020,South Central,Conventional,0.844593722
Bulk GTIN,1262687.7,6/28/2020,South Central,Conventional,0.844593722
Bagged,1376097.37,6/28/2020,South Central,Conventional,0.844593722
PLU 4046,2719457.94,6/28/2020,South Central,Conventional,0.844593722
PLU 4225,703822.73,7/5/2020,South Central,Conventional,0.821155724
PLU 4770,215717.22,7/5/2020,South Central,Conventional,0.821155724
Bulk GTIN,1354933.14,7/5/2020,South Central,Conventional,0.821155724
Bagged,1533570.04,7/5/2020,South Central,Conventional,0.821155724
PLU 4046,3377182.77,7/5/2020,South Central,Conventional,0.821155724
PLU 4225,579504.22,7/12/2020,South Central,Conventional,0.802057146
PLU 4770,198830.47,7/12/2020,South Central,Conventional,0.802057146
Bulk GTIN,1198424.45,7/12/2020,South Central,Conventional,0.802057146
Bagged,1520029.93,7/12/2020,South Central,Conventional,0.802057146
PLU 4046,3069737.66,7/12/2020,South Central,Conventional,0.802057146
PLU 4225,608868.61,7/19/2020,South Central,Conventional,0.808707405
PLU 4770,170708.52,7/19/2020,South Central,Conventional,0.808707405
Bulk GTIN,1248221.28,7/19/2020,South Central,Conventional,0.808707405
Bagged,1687546.47,7/19/2020,South Central,Conventional,0.808707405
PLU 4046,2835919.02,7/19/2020,South Central,Conventional,0.808707405
PLU 4225,767211.44,7/26/2020,South Central,Conventional,0.816277622
PLU 4770,153448.28,7/26/2020,South Central,Conventional,0.816277622
Bulk GTIN,1265547.13,7/26/2020,South Central,Conventional,0.816277622
Bagged,1507081.34,7/26/2020,South Central,Conventional,0.816277622
PLU 4046,2575241.18,7/26/2020,South Central,Conventional,0.816277622
PLU 4225,809656.84,8/2/2020,South Central,Conventional,0.803015181
PLU 4770,129404.54,8/2/2020,South Central,Conventional,0.803015181
Bulk GTIN,1264971.65,8/2/2020,South Central,Conventional,0.803015181
Bagged,1416809.66,8/2/2020,South Central,Conventional,0.803015181
PLU 4046,2482164.45,8/2/2020,South Central,Conventional,0.803015181
PLU 4225,719925.63,8/9/2020,South Central,Conventional,0.82447035
PLU 4770,142693.45,8/9/2020,South Central,Conventional,0.82447035
Bulk GTIN,1184880.58,8/9/2020,South Central,Conventional,0.82447035
Bagged,1596672.72,8/9/2020,South Central,Conventional,0.82447035
PLU 4046,2689802.89,8/9/2020,South Central,Conventional,0.82447035
PLU 4225,676414.95,8/16/2020,South Central,Conventional,0.786633989
PLU 4770,132983.29,8/16/2020,South Central,Conventional,0.786633989
Bulk GTIN,1285222.62,8/16/2020,South Central,Conventional,0.786633989
Bagged,1403815.86,8/16/2020,South Central,Conventional,0.786633989
PLU 4046,3094087.77,8/16/2020,South Central,Conventional,0.786633989
PLU 4225,799656.87,8/23/2020,South Central,Conventional,0.749245553
PLU 4770,167353.85,8/23/2020,South Central,Conventional,0.749245553
Bulk GTIN,1416819.5,8/23/2020,South Central,Conventional,0.749245553
Bagged,1516962.81,8/23/2020,South Central,Conventional,0.749245553
PLU 4046,3035905.76,8/23/2020,South Central,Conventional,0.749245553
PLU 4225,768557.7,8/30/2020,South Central,Conventional,0.745326874
PLU 4770,157801.71,8/30/2020,South Central,Conventional,0.745326874
Bulk GTIN,1324015.05,8/30/2020,South Central,Conventional,0.745326874
Bagged,1304808.4,8/30/2020,South Central,Conventional,0.745326874
PLU 4046,3007267.69,8/30/2020,South Central,Conventional,0.745326874
PLU 4225,626641.85,9/6/2020,South Central,Conventional,0.765886324
PLU 4770,210449.79,9/6/2020,South Central,Conventional,0.765886324
Bulk GTIN,1223849.82,9/6/2020,South Central,Conventional,0.765886324
Bagged,1502227.98,9/6/2020,South Central,Conventional,0.765886324
PLU 4046,3095957.24,9/6/2020,South Central,Conventional,0.765886324
PLU 4225,636520.68,9/13/2020,South Central,Conventional,0.755699199
PLU 4770,164731.25,9/13/2020,South Central,Conventional,0.755699199
Bulk GTIN,1237546.72,9/13/2020,South Central,Conventional,0.755699199
Bagged,1324410.86,9/13/2020,South Central,Conventional,0.755699199
PLU 4046,3045051.27,9/13/2020,South Central,Conventional,0.755699199
PLU 4225,823471.34,9/20/2020,South Central,Conventional,0.759274764
PLU 4770,150900.63,9/20/2020,South Central,Conventional,0.759274764
Bulk GTIN,1284162.16,9/20/2020,South Central,Conventional,0.759274764
Bagged,1340950.68,9/20/2020,South Central,Conventional,0.759274764
PLU 4046,2669747.1,9/20/2020,South Central,Conventional,0.759274764
PLU 4225,814827.7,9/27/2020,South Central,Conventional,0.747182692
PLU 4770,144088.96,9/27/2020,South Central,Conventional,0.747182692
Bulk GTIN,1208474.96,9/27/2020,South Central,Conventional,0.747182692
Bagged,1253495.3,9/27/2020,South Central,Conventional,0.747182692
PLU 4046,2655608.72,9/27/2020,South Central,Conventional,0.747182692
PLU 4225,931111.45,10/4/2020,South Central,Conventional,0.75396021
PLU 4770,91605.97,10/4/2020,South Central,Conventional,0.75396021
Bulk GTIN,1205114.87,10/4/2020,South Central,Conventional,0.75396021
Bagged,1403254.96,10/4/2020,South Central,Conventional,0.75396021
PLU 4046,2385709.27,10/4/2020,South Central,Conventional,0.75396021
PLU 4225,895145.48,10/11/2020,South Central,Conventional,0.744539271
PLU 4770,84692.55,10/11/2020,South Central,Conventional,0.744539271
Bulk GTIN,1135426.34,10/11/2020,South Central,Conventional,0.744539271
Bagged,1404693.23,10/11/2020,South Central,Conventional,0.744539271
PLU 4046,2547267.97,10/11/2020,South Central,Conventional,0.744539271
PLU 4225,813592.2,10/18/2020,South Central,Conventional,0.760275187
PLU 4770,103234.66,10/18/2020,South Central,Conventional,0.760275187
Bulk GTIN,1055440.06,10/18/2020,South Central,Conventional,0.760275187
Bagged,1388388.45,10/18/2020,South Central,Conventional,0.760275187
PLU 4046,2322462.68,10/18/2020,South Central,Conventional,0.760275187
PLU 4225,757219.98,10/25/2020,South Central,Conventional,0.750962648
PLU 4770,74759.75,10/25/2020,South Central,Conventional,0.750962648
Bulk GTIN,1138334.34,10/25/2020,South Central,Conventional,0.750962648
Bagged,1435157.16,10/25/2020,South Central,Conventional,0.750962648
PLU 4046,2437519.01,10/25/2020,South Central,Conventional,0.750962648
PLU 4225,819994.84,11/1/2020,South Central,Conventional,0.70596866
PLU 4770,103381.39,11/1/2020,South Central,Conventional,0.70596866
Bulk GTIN,1202434.96,11/1/2020,South Central,Conventional,0.70596866
Bagged,1483023.45,11/1/2020,South Central,Conventional,0.70596866
PLU 4046,2414555.5,11/1/2020,South Central,Conventional,0.70596866
PLU 4225,846928.24,11/8/2020,South Central,Conventional,0.712832877
PLU 4770,68662,11/8/2020,South Central,Conventional,0.712832877
Bulk GTIN,1169445.14,11/8/2020,South Central,Conventional,0.712832877
Bagged,1387635.43,11/8/2020,South Central,Conventional,0.712832877
PLU 4046,2469676.63,11/8/2020,South Central,Conventional,0.712832877
PLU 4225,885045.86,11/15/2020,South Central,Conventional,0.673769149
PLU 4770,66221.86,11/15/2020,South Central,Conventional,0.673769149
Bulk GTIN,1140278.7,11/15/2020,South Central,Conventional,0.673769149
Bagged,1695422.15,11/15/2020,South Central,Conventional,0.673769149
PLU 4046,2701150.36,11/15/2020,South Central,Conventional,0.673769149
PLU 4225,836089.55,11/22/2020,South Central,Conventional,0.66041341
PLU 4770,73758.43,11/22/2020,South Central,Conventional,0.66041341
Bulk GTIN,1006316.13,11/22/2020,South Central,Conventional,0.66041341
Bagged,1454797.91,11/22/2020,South Central,Conventional,0.66041341
PLU 4046,2468594.91,11/22/2020,South Central,Conventional,0.66041341
PLU 4225,577428.08,11/29/2020,South Central,Conventional,0.635158032
PLU 4770,103896.06,11/29/2020,South Central,Conventional,0.635158032
Bulk GTIN,769441.4,11/29/2020,South Central,Conventional,0.635158032
Bagged,1446617.15,11/29/2020,South Central,Conventional,0.635158032
PLU 4046,2399144.85,11/29/2020,South Central,Conventional,0.635158032
PLU 4225,752778.78,12/6/2020,South Central,Conventional,0.661376243
PLU 4770,76174.23,12/6/2020,South Central,Conventional,0.661376243
Bulk GTIN,978557.33,12/6/2020,South Central,Conventional,0.661376243
Bagged,1345216.54,12/6/2020,South Central,Conventional,0.661376243
PLU 4046,2594570.35,12/6/2020,South Central,Conventional,0.661376243
PLU 4225,900437.71,12/13/2020,South Central,Conventional,0.664199052
PLU 4770,127743.52,12/13/2020,South Central,Conventional,0.664199052
Bulk GTIN,1085117.71,12/13/2020,South Central,Conventional,0.664199052
Bagged,1548959.91,12/13/2020,South Central,Conventional,0.664199052
PLU 4046,2331642.71,12/13/2020,South Central,Conventional,0.664199052
PLU 4225,767776.34,12/20/2020,South Central,Conventional,0.674896501
PLU 4770,96836.94,12/20/2020,South Central,Conventional,0.674896501
Bulk GTIN,1005057.17,12/20/2020,South Central,Conventional,0.674896501
Bagged,1461110.71,12/20/2020,South Central,Conventional,0.674896501
PLU 4046,2298569.73,12/20/2020,South Central,Conventional,0.674896501
PLU 4225,819741.57,12/27/2020,South Central,Conventional,0.671505385
PLU 4770,101918.39,12/27/2020,South Central,Conventional,0.671505385
Bulk GTIN,992624.71,12/27/2020,South Central,Conventional,0.671505385
Bagged,1325371.71,12/27/2020,South Central,Conventional,0.671505385
PLU 4046,2210862.34,12/27/2020,South Central,Conventional,0.671505385
PLU 4225,207018.15,1/5/2020,Southeast,Conventional,0.917904854
PLU 4770,22621,1/5/2020,Southeast,Conventional,0.917904854
Bulk GTIN,2002810.49,1/5/2020,Southeast,Conventional,0.917904854
Bagged,803364.26,1/5/2020,Southeast,Conventional,0.917904854
PLU 4046,2267927.39,1/5/2020,Southeast,Conventional,0.917904854
PLU 4225,208190.59,1/12/2020,Southeast,Conventional,0.922719233
PLU 4770,20305.89,1/12/2020,Southeast,Conventional,0.922719233
Bulk GTIN,1935145.04,1/12/2020,Southeast,Conventional,0.922719233
Bagged,901214.73,1/12/2020,Southeast,Conventional,0.922719233
PLU 4046,2267329.8,1/12/2020,Southeast,Conventional,0.922719233
PLU 4225,197667.49,1/19/2020,Southeast,Conventional,0.917250427
PLU 4770,25754.49,1/19/2020,Southeast,Conventional,0.917250427
Bulk GTIN,1894799.48,1/19/2020,Southeast,Conventional,0.917250427
Bagged,923475.13,1/19/2020,Southeast,Conventional,0.917250427
PLU 4046,2438759.63,1/19/2020,Southeast,Conventional,0.917250427
PLU 4225,211331.62,1/26/2020,Southeast,Conventional,0.932704926
PLU 4770,22908.64,1/26/2020,Southeast,Conventional,0.932704926
Bulk GTIN,1931733.72,1/26/2020,Southeast,Conventional,0.932704926
Bagged,970784.54,1/26/2020,Southeast,Conventional,0.932704926
PLU 4046,2417747.09,1/26/2020,Southeast,Conventional,0.932704926
PLU 4225,305528.51,2/2/2020,Southeast,Conventional,0.900638119
PLU 4770,8216.22,2/2/2020,Southeast,Conventional,0.900638119
Bulk GTIN,2303636.76,2/2/2020,Southeast,Conventional,0.900638119
Bagged,1016447.62,2/2/2020,Southeast,Conventional,0.900638119
PLU 4046,2836008.39,2/2/2020,Southeast,Conventional,0.900638119
PLU 4225,245369.64,2/9/2020,Southeast,Conventional,0.988425923
PLU 4770,2440.58,2/9/2020,Southeast,Conventional,0.988425923
Bulk GTIN,1647260.66,2/9/2020,Southeast,Conventional,0.988425923
Bagged,1008946.41,2/9/2020,Southeast,Conventional,0.988425923
PLU 4046,2198195.4,2/9/2020,Southeast,Conventional,0.988425923
PLU 4225,207339.39,2/16/2020,Southeast,Conventional,0.976632018
PLU 4770,2117.78,2/16/2020,Southeast,Conventional,0.976632018
Bulk GTIN,1605296.97,2/16/2020,Southeast,Conventional,0.976632018
Bagged,956033.79,2/16/2020,Southeast,Conventional,0.976632018
PLU 4046,2002372.81,2/16/2020,Southeast,Conventional,0.976632018
PLU 4225,187773.49,2/23/2020,Southeast,Conventional,0.998672526
PLU 4770,2529.25,2/23/2020,Southeast,Conventional,0.998672526
Bulk GTIN,1529411.64,2/23/2020,Southeast,Conventional,0.998672526
Bagged,960192.04,2/23/2020,Southeast,Conventional,0.998672526
PLU 4046,2073715.76,2/23/2020,Southeast,Conventional,0.998672526
PLU 4225,207775.21,3/1/2020,Southeast,Conventional,1.119161604
PLU 4770,3783.49,3/1/2020,Southeast,Conventional,1.119161604
Bulk GTIN,1501295.54,3/1/2020,Southeast,Conventional,1.119161604
Bagged,935759.29,3/1/2020,Southeast,Conventional,1.119161604
PLU 4046,2032599.89,3/1/2020,Southeast,Conventional,1.119161604
PLU 4225,166708.29,3/8/2020,Southeast,Conventional,1.140159315
PLU 4770,2057.79,3/8/2020,Southeast,Conventional,1.140159315
Bulk GTIN,1420271.62,3/8/2020,Southeast,Conventional,1.140159315
Bagged,959565.19,3/8/2020,Southeast,Conventional,1.140159315
PLU 4046,2150311.21,3/8/2020,Southeast,Conventional,1.140159315
PLU 4225,215127.14,3/15/2020,Southeast,Conventional,1.075718642
PLU 4770,2137.51,3/15/2020,Southeast,Conventional,1.075718642
Bulk GTIN,1713778.44,3/15/2020,Southeast,Conventional,1.075718642
Bagged,1169418.64,3/15/2020,Southeast,Conventional,1.075718642
PLU 4046,2559601.99,3/15/2020,Southeast,Conventional,1.075718642
PLU 4225,210974.36,3/22/2020,Southeast,Conventional,1.082776727
PLU 4770,2965.14,3/22/2020,Southeast,Conventional,1.082776727
Bulk GTIN,1658991.21,3/22/2020,Southeast,Conventional,1.082776727
Bagged,1156308.5,3/22/2020,Southeast,Conventional,1.082776727
PLU 4046,2738823.33,3/22/2020,Southeast,Conventional,1.082776727
PLU 4225,189559.63,3/29/2020,Southeast,Conventional,1.19833996
PLU 4770,2959.58,3/29/2020,Southeast,Conventional,1.19833996
Bulk GTIN,1444285.31,3/29/2020,Southeast,Conventional,1.19833996
Bagged,1063963.09,3/29/2020,Southeast,Conventional,1.19833996
PLU 4046,2535449.39,3/29/2020,Southeast,Conventional,1.19833996
PLU 4225,228114.03,4/5/2020,Southeast,Conventional,1.180790307
PLU 4770,3002.73,4/5/2020,Southeast,Conventional,1.180790307
Bulk GTIN,1373243.29,4/5/2020,Southeast,Conventional,1.180790307
Bagged,1236656.97,4/5/2020,Southeast,Conventional,1.180790307
PLU 4046,2869907.65,4/5/2020,Southeast,Conventional,1.180790307
PLU 4225,233734.21,4/12/2020,Southeast,Conventional,1.200337086
PLU 4770,2694.68,4/12/2020,Southeast,Conventional,1.200337086
Bulk GTIN,1326803,4/12/2020,Southeast,Conventional,1.200337086
Bagged,1070779.38,4/12/2020,Southeast,Conventional,1.200337086
PLU 4046,2370389.27,4/12/2020,Southeast,Conventional,1.200337086
PLU 4225,281184.9,4/19/2020,Southeast,Conventional,1.177667788
PLU 4770,2783.84,4/19/2020,Southeast,Conventional,1.177667788
Bulk GTIN,1405815.84,4/19/2020,Southeast,Conventional,1.177667788
Bagged,1151524.35,4/19/2020,Southeast,Conventional,1.177667788
PLU 4046,2640585.31,4/19/2020,Southeast,Conventional,1.177667788
PLU 4225,261961.36,4/26/2020,Southeast,Conventional,1.166121653
PLU 4770,3566.96,4/26/2020,Southeast,Conventional,1.166121653
Bulk GTIN,1491571.81,4/26/2020,Southeast,Conventional,1.166121653
Bagged,1256845.51,4/26/2020,Southeast,Conventional,1.166121653
PLU 4046,2598482.21,4/26/2020,Southeast,Conventional,1.166121653
PLU 4225,379534.91,5/3/2020,Southeast,Conventional,1.069066792
PLU 4770,5015.7,5/3/2020,Southeast,Conventional,1.069066792
Bulk GTIN,1961298.26,5/3/2020,Southeast,Conventional,1.069066792
Bagged,1353558.74,5/3/2020,Southeast,Conventional,1.069066792
PLU 4046,3370656.54,5/3/2020,Southeast,Conventional,1.069066792
PLU 4225,234125.43,5/10/2020,Southeast,Conventional,1.160793156
PLU 4770,4548.29,5/10/2020,Southeast,Conventional,1.160793156
Bulk GTIN,1477186.53,5/10/2020,Southeast,Conventional,1.160793156
Bagged,1360589.79,5/10/2020,Southeast,Conventional,1.160793156
PLU 4046,2746158.5,5/10/2020,Southeast,Conventional,1.160793156
PLU 4225,231247.62,5/17/2020,Southeast,Conventional,1.166219413
PLU 4770,4094.64,5/17/2020,Southeast,Conventional,1.166219413
Bulk GTIN,1471916.93,5/17/2020,Southeast,Conventional,1.166219413
Bagged,1342211.7,5/17/2020,Southeast,Conventional,1.166219413
PLU 4046,2723598.84,5/17/2020,Southeast,Conventional,1.166219413
PLU 4225,240456.89,5/24/2020,Southeast,Conventional,1.065700147
PLU 4770,4173.38,5/24/2020,Southeast,Conventional,1.065700147
Bulk GTIN,1631977.91,5/24/2020,Southeast,Conventional,1.065700147
Bagged,1398832.85,5/24/2020,Southeast,Conventional,1.065700147
PLU 4046,3202054.79,5/24/2020,Southeast,Conventional,1.065700147
PLU 4225,235747.3,5/31/2020,Southeast,Conventional,1.158998926
PLU 4770,5203.51,5/31/2020,Southeast,Conventional,1.158998926
Bulk GTIN,1157937,5/31/2020,Southeast,Conventional,1.158998926
Bagged,1388464.85,5/31/2020,Southeast,Conventional,1.158998926
PLU 4046,2901275.02,5/31/2020,Southeast,Conventional,1.158998926
PLU 4225,228807.01,6/7/2020,Southeast,Conventional,1.131873049
PLU 4770,5476.13,6/7/2020,Southeast,Conventional,1.131873049
Bulk GTIN,1244519.46,6/7/2020,Southeast,Conventional,1.131873049
Bagged,1377643.95,6/7/2020,Southeast,Conventional,1.131873049
PLU 4046,2803655.05,6/7/2020,Southeast,Conventional,1.131873049
PLU 4225,221213.51,6/14/2020,Southeast,Conventional,1.125003406
PLU 4770,4394.6,6/14/2020,Southeast,Conventional,1.125003406
Bulk GTIN,1292613.15,6/14/2020,Southeast,Conventional,1.125003406
Bagged,1467559.68,6/14/2020,Southeast,Conventional,1.125003406
PLU 4046,2672566.76,6/14/2020,Southeast,Conventional,1.125003406
PLU 4225,226909.45,6/21/2020,Southeast,Conventional,1.109295886
PLU 4770,4296.62,6/21/2020,Southeast,Conventional,1.109295886
Bulk GTIN,1393891.16,6/21/2020,Southeast,Conventional,1.109295886
Bagged,1456830.57,6/21/2020,Southeast,Conventional,1.109295886
PLU 4046,2553863.69,6/21/2020,Southeast,Conventional,1.109295886
PLU 4225,222407.42,6/28/2020,Southeast,Conventional,1.047979404
PLU 4770,4677.24,6/28/2020,Southeast,Conventional,1.047979404
Bulk GTIN,1500202.47,6/28/2020,Southeast,Conventional,1.047979404
Bagged,1375527.17,6/28/2020,Southeast,Conventional,1.047979404
PLU 4046,2750904.73,6/28/2020,Southeast,Conventional,1.047979404
PLU 4225,242314.24,7/5/2020,Southeast,Conventional,1.028779259
PLU 4770,5071.86,7/5/2020,Southeast,Conventional,1.028779259
