Product Category,Units,Week Ending,Geography,Type,ASP
Bagged,1185332,1/2/2022,Southeast,Conventional,1.064581655
PLU 4046,2377384.54,1/2/2022,Southeast,Conventional,1.064581655
PLU 4225,619077.46,1/23/2022,West,Conventional,1.216607247
PLU 4770,30263.38,1/23/2022,West,Conventional,1.216607247
Bulk GTIN,3037345.4,1/23/2022,West,Conventional,1.216607247
Bagged,1542122.22,1/23/2022,West,Conventional,1.216607247
PLU 4046,1564098.75,1/23/2022,West,Conventional,1.216607247
PLU 4225,596755.93,1/16/2022,West,Conventional,1.287942031
PLU 4770,27206.38,1/16/2022,West,Conventional,1.287942031
Bulk GTIN,2972141.83,1/16/2022,West,Conventional,1.287942031
Bagged,1559470.99,1/16/2022,West,Conventional,1.287942031
PLU 4046,1452195.79,1/16/2022,West,Conventional,1.287942031
PLU 4225,749746.65,1/9/2022,West,Conventional,1.133430678
PLU 4770,33078.32,1/9/2022,West,Conventional,1.133430678
Bulk GTIN,3102519.09,1/9/2022,West,Conventional,1.133430678
Bagged,1579596.87,1/9/2022,West,Conventional,1.133430678
PLU 4046,1421427.09,1/9/2022,West,Conventional,1.133430678
PLU 4225,776648.62,1/2/2022,West,Conventional,1.026909176
PLU 4770,35648.66,1/2/2022,West,Conventional,1.026909176
Bulk GTIN,3391389.69,1/2/2022,West,Conventional,1.026909176
Bagged,1404477.93,1/2/2022,West,Conventional,1.026909176
PLU 4046,1427840.67,1/2/2022,West,Conventional,1.026909176
PLU 4225,17882.6,1/23/2022,California,Organic,1.851263999
PLU 4770,5.86,1/23/2022,California,Organic,1.851263999
Bulk GTIN,149029.01,1/23/2022,California,Organic,1.851263999
Bagged,171596.19,1/23/2022,California,Organic,1.851263999
PLU 4046,19740.12,1/23/2022,California,Organic,1.851263999
PLU 4225,17769.64,1/16/2022,California,Organic,1.806706635
PLU 4770,2.92,1/16/2022,California,Organic,1.806706635
Bulk GTIN,199710.62,1/16/2022,California,Organic,1.806706635
Bagged,176412.09,1/16/2022,California,Organic,1.806706635
PLU 4046,22005.9,1/16/2022,California,Organic,1.806706635
PLU 4225,20140.95,1/9/2022,California,Organic,1.948208583
PLU 4770,14.51,1/9/2022,California,Organic,1.948208583
Bulk GTIN,108610.14,1/9/2022,California,Organic,1.948208583
Bagged,122418.7,1/9/2022,California,Organic,1.948208583
PLU 4046,16931.63,1/9/2022,California,Organic,1.948208583
PLU 4225,19420.91,1/2/2022,California,Organic,1.871531299
PLU 4770,0,1/2/2022,California,Organic,1.871531299
Bulk GTIN,129833.83,1/2/2022,California,Organic,1.871531299
Bagged,149152.24,1/2/2022,California,Organic,1.871531299
PLU 4046,18555.53,1/2/2022,California,Organic,1.871531299
PLU 4225,15789.08,1/23/2022,Great Lakes,Organic,1.581405211
PLU 4770,1.2,1/23/2022,Great Lakes,Organic,1.581405211
Bulk GTIN,68916.78,1/23/2022,Great Lakes,Organic,1.581405211
Bagged,99720.49,1/23/2022,Great Lakes,Organic,1.581405211
PLU 4046,3821.89,1/23/2022,Great Lakes,Organic,1.581405211
PLU 4225,16397.89,1/16/2022,Great Lakes,Organic,1.455725911
PLU 4770,0,1/16/2022,Great Lakes,Organic,1.455725911
Bulk GTIN,66926.42,1/16/2022,Great Lakes,Organic,1.455725911
Bagged,111742.58,1/16/2022,Great Lakes,Organic,1.455725911
PLU 4046,4388.66,1/16/2022,Great Lakes,Organic,1.455725911
PLU 4225,16118.76,1/9/2022,Great Lakes,Organic,1.574685195
PLU 4770,0,1/9/2022,Great Lakes,Organic,1.574685195
Bulk GTIN,57774.52,1/9/2022,Great Lakes,Organic,1.574685195
Bagged,86908.85,1/9/2022,Great Lakes,Organic,1.574685195
PLU 4046,4423.23,1/9/2022,Great Lakes,Organic,1.574685195
PLU 4225,15658.1,1/2/2022,Great Lakes,Organic,1.602071652
PLU 4770,0,1/2/2022,Great Lakes,Organic,1.602071652
Bulk GTIN,65957.49,1/2/2022,Great Lakes,Organic,1.602071652
Bagged,74936.01,1/2/2022,Great Lakes,Organic,1.602071652
PLU 4046,4936.59,1/2/2022,Great Lakes,Organic,1.602071652
PLU 4225,20663.12,1/23/2022,Midsouth,Organic,1.665594396
PLU 4770,82.3,1/23/2022,Midsouth,Organic,1.665594396
Bulk GTIN,37960.67,1/23/2022,Midsouth,Organic,1.665594396
Bagged,153684.64,1/23/2022,Midsouth,Organic,1.665594396
PLU 4046,2837.19,1/23/2022,Midsouth,Organic,1.665594396
PLU 4225,22760.79,1/16/2022,Midsouth,Organic,1.608059137
PLU 4770,91.61,1/16/2022,Midsouth,Organic,1.608059137
Bulk GTIN,40939.22,1/16/2022,Midsouth,Organic,1.608059137
Bagged,164002.08,1/16/2022,Midsouth,Organic,1.608059137
PLU 4046,2251.47,1/16/2022,Midsouth,Organic,1.608059137
PLU 4225,21975.36,1/9/2022,Midsouth,Organic,1.523334893
PLU 4770,76.01,1/9/2022,Midsouth,Organic,1.523334893
Bulk GTIN,37230.3,1/9/2022,Midsouth,Organic,1.523334893
Bagged,202196.54,1/9/2022,Midsouth,Organic,1.523334893
PLU 4046,2390.26,1/9/2022,Midsouth,Organic,1.523334893
PLU 4225,19708.23,1/2/2022,Midsouth,Organic,1.673893831
PLU 4770,83.37,1/2/2022,Midsouth,Organic,1.673893831
Bulk GTIN,34060.57,1/2/2022,Midsouth,Organic,1.673893831
Bagged,159774.43,1/2/2022,Midsouth,Organic,1.673893831
PLU 4046,2059.23,1/2/2022,Midsouth,Organic,1.673893831
PLU 4225,14084.3,1/23/2022,Northeast,Organic,1.73989593
PLU 4770,11.86,1/23/2022,Northeast,Organic,1.73989593
Bulk GTIN,15626.32,1/23/2022,Northeast,Organic,1.73989593
Bagged,225328.55,1/23/2022,Northeast,Organic,1.73989593
PLU 4046,39179.82,1/23/2022,Northeast,Organic,1.73989593
PLU 4225,13483.74,1/16/2022,Northeast,Organic,1.754481015
PLU 4770,11.74,1/16/2022,Northeast,Organic,1.754481015
Bulk GTIN,18169.09,1/16/2022,Northeast,Organic,1.754481015
Bagged,243989.67,1/16/2022,Northeast,Organic,1.754481015
PLU 4046,24638.83,1/16/2022,Northeast,Organic,1.754481015
